Município;Dose;Total Doses Aplicadas
PEDREGULHO;UNICA;401
PEDRANÓPOLIS;UNICA;58
PEDRA BELA;UNICA;168
PEDERNEIRAS;UNICA;1244
PAULO DE FARIA;UNICA;201
PAULISTÂNIA;UNICA;53
PAULÍNIA;UNICA;3263
PAULICÉIA;UNICA;228
PATROCÍNIO PAULISTA;UNICA;333
PARISI;UNICA;45
PARIQUERA-AÇU;UNICA;388
PARDINHO;UNICA;167
PARAPUÃ;UNICA;244
PARANAPUÃ;UNICA;91
PARANAPANEMA;UNICA;542
PARAÍSO;UNICA;175
PARAIBUNA;UNICA;424
PARAGUAÇU PAULISTA;UNICA;1069
PANORAMA;UNICA;275
PALMITAL;UNICA;479
PALMEIRA D'OESTE;UNICA;204
PALMARES PAULISTA;UNICA;466
PALESTINA;UNICA;351
PACAEMBU;UNICA;298
OUROESTE;UNICA;278
OURO VERDE;UNICA;181
OURINHOS;UNICA;2267
OSVALDO CRUZ;UNICA;739
OSCAR BRESSANE;UNICA;49
OSASCO;UNICA;20061
ORLÂNDIA;UNICA;1261
ORINDIÚVA;UNICA;197
ORIENTE;UNICA;168
ONDA VERDE;UNICA;106
OLÍMPIA;UNICA;1480
ÓLEO;UNICA;59
OCAUÇU;UNICA;105
NUPORANGA;UNICA;180
NOVO HORIZONTE;UNICA;1051
NOVAIS;UNICA;147
NOVA ODESSA;UNICA;1790
NOVA LUZITÂNIA;UNICA;130
NOVA INDEPENDÊNCIA;UNICA;98
NOVA GUATAPORANGA;UNICA;35
NOVA GRANADA;UNICA;567
NOVA EUROPA;UNICA;304
NOVA CASTILHO;UNICA;20
NOVA CANAÃ PAULISTA;UNICA;25
NOVA CAMPINA;UNICA;227
NOVA ALIANÇA;UNICA;167
NIPOÃ;UNICA;169
NHANDEARA;UNICA;249
NEVES PAULISTA;UNICA;231
NAZARÉ PAULISTA;UNICA;484
NATIVIDADE DA SERRA;UNICA;148
NARANDIBA;UNICA;128
NANTES;UNICA;61
MURUTINGA DO SUL;UNICA;95
MOTUCA;UNICA;125
MORUNGABA;UNICA;403
MORRO AGUDO;UNICA;913
MONTEIRO LOBATO;UNICA;94
MONTE MOR;UNICA;1869
MONTE CASTELO;UNICA;115
MONTE AZUL PAULISTA;UNICA;352
MONTE APRAZÍVEL;UNICA;717
MONTE ALTO;UNICA;1184
MONTE ALEGRE DO SUL;UNICA;194
MONGAGUÁ;UNICA;1233
MONÇÕES;UNICA;53
MOMBUCA;UNICA;74
MOGI MIRIM;UNICA;2501
MOGI GUAÇU;UNICA;4184
MOGI DAS CRUZES;UNICA;11082
MOCOCA;UNICA;1744
MIRASSOLÂNDIA;UNICA;125
MIRASSOL;UNICA;1721
MIRANTE DO PARANAPANEMA;UNICA;415
MIRANDÓPOLIS;UNICA;556
MIRACATU;UNICA;427
MIRA ESTRELA;UNICA;69
MINEIROS DO TIETÊ;UNICA;317
MIGUELÓPOLIS;UNICA;642
MESÓPOLIS;UNICA;40
MERIDIANO;UNICA;97
MENDONÇA;UNICA;120
MAUÁ;UNICA;13211
MATÃO;UNICA;2287
MARTINÓPOLIS;UNICA;566
MARINÓPOLIS;UNICA;42
MARÍLIA;UNICA;4629
MARIÁPOLIS;UNICA;112
MARAPOAMA;UNICA;74
MARACAÍ;UNICA;295
MARABÁ PAULISTA;UNICA;64
MANDURI;UNICA;250
MAIRIPORÃ;UNICA;2546
MAIRINQUE;UNICA;1261
MAGDA;UNICA;70
MACEDÔNIA;UNICA;80
MACAUBAL;UNICA;212
MACATUBA;UNICA;483
LUTÉCIA;UNICA;56
LUPÉRCIO;UNICA;109
LUIZIÂNIA;UNICA;121
LUÍS ANTÔNIO;UNICA;439
LUCIANÓPOLIS;UNICA;50
LUCÉLIA;UNICA;599
LOUVEIRA;UNICA;1791
LOURDES;UNICA;47
LORENA;UNICA;2180
LINS;UNICA;1829
LINDÓIA;UNICA;227
LIMEIRA;UNICA;8760
LENÇÓIS PAULISTA;UNICA;1897
LEME;UNICA;2747
LAVRINHAS;UNICA;190
LAVÍNIA;UNICA;132
LARANJAL PAULISTA;UNICA;654
LAGOINHA;UNICA;91
JUQUITIBA;UNICA;752
JUQUIÁ;UNICA;408
JUNQUEIRÓPOLIS;UNICA;455
JUNDIAÍ;UNICA;12719
JUMIRIM;UNICA;101
JÚLIO MESQUITA;UNICA;122
JOSÉ BONIFÁCIO;UNICA;1038
JOÃO RAMALHO;UNICA;120
JOANÓPOLIS;UNICA;392
JERIQUARA;UNICA;76
JAÚ;UNICA;3898
JARINU;UNICA;893
JARDINÓPOLIS;UNICA;1203
JANDIRA;UNICA;3620
JAMBEIRO;UNICA;190
JALES;UNICA;993
JAGUARIÚNA;UNICA;1681
JACUPIRANGA;UNICA;403
JACI;UNICA;190
JACAREÍ;UNICA;5959
JABOTICABAL;UNICA;1806
JABORANDI;UNICA;177
ITUVERAVA;UNICA;1093
ITUPEVA;UNICA;1929
ITU;UNICA;5258
ITOBI;UNICA;207
ITIRAPUÃ;UNICA;164
ITIRAPINA;UNICA;408
ITATINGA;UNICA;548
ITATIBA;UNICA;3500
ITARIRI;UNICA;414
ITARARÉ;UNICA;1187
ITAQUAQUECETUBA;UNICA;10199
ITAPURA;UNICA;76
ITAPUÍ;UNICA;398
ITAPORANGA;UNICA;321
ITÁPOLIS;UNICA;1088
ITAPIRAPUÃ PAULISTA;UNICA;90
ITAPIRA;UNICA;1898
ITAPEVI;UNICA;7145
ITAPEVA;UNICA;2144
ITAPETININGA;UNICA;3047
ITAPECERICA DA SERRA;UNICA;4307
ITAOCA;UNICA;54
ITANHAÉM;UNICA;2550
ITAJU;UNICA;103
ITAJOBI;UNICA;361
ITAÍ;UNICA;721
ITABERÁ;UNICA;373
IRAPURU;UNICA;83
IRAPUÃ;UNICA;231
IRACEMÁPOLIS;UNICA;722
IPUÃ;UNICA;447
IPORANGA;UNICA;32
IPIGUÁ;UNICA;120
IPEÚNA;UNICA;189
IPERÓ;UNICA;1054
IPAUSSU;UNICA;389
INÚBIA PAULISTA;UNICA;92
INDIAPORÃ;UNICA;91
INDIANA;UNICA;114
INDAIATUBA;UNICA;7075
ILHABELA;UNICA;882
ILHA SOLTEIRA;UNICA;518
ILHA COMPRIDA;UNICA;205
IGUAPE;UNICA;607
IGARATÁ;UNICA;250
IGARAPAVA;UNICA;793
IGARAÇU DO TIETÊ;UNICA;762
IEPÊ;UNICA;186
ICÉM;UNICA;238
IBIÚNA;UNICA;2176
IBITINGA;UNICA;1732
IBIRAREMA;UNICA;165
IBIRÁ;UNICA;343
IBATÉ;UNICA;1035
IARAS;UNICA;214
IACRI;UNICA;146
IACANGA;UNICA;389
HORTOLÂNDIA;UNICA;7527
HOLAMBRA;UNICA;416
HERCULÂNDIA;UNICA;235
GUZOLÂNDIA;UNICA;115
GUATAPARÁ;UNICA;226
GUARULHOS;UNICA;40587
GUARUJÁ;UNICA;8727
GUARIBA;UNICA;1189
GUAREÍ;UNICA;441
GUARATINGUETÁ;UNICA;3238
GUARAREMA;UNICA;882
GUARARAPES;UNICA;838
GUARANTÃ;UNICA;193
GUARANI D'OESTE;UNICA;31
GUARACI;UNICA;318
GUARAÇAÍ;UNICA;197
GUARÁ;UNICA;509
GUAPIARA;UNICA;398
GUAPIAÇU;UNICA;600
GUAÍRA;UNICA;1070
GUAIMBÊ;UNICA;133
GUAIÇARA;UNICA;346
GLICÉRIO;UNICA;130
GETULINA;UNICA;268
GENERAL SALGADO;UNICA;247
GAVIÃO PEIXOTO;UNICA;143
GASTÃO VIDIGAL;UNICA;152
GARÇA;UNICA;1024
GÁLIA;UNICA;146
GABRIEL MONTEIRO;UNICA;65
FRANCO DA ROCHA;UNICA;7386
FRANCISCO MORATO;UNICA;4635
FRANCA;UNICA;9117
FLORÍNEA;UNICA;37
FLÓRIDA PAULISTA;UNICA;301
FLOREAL;UNICA;50
FLORA RICA;UNICA;19
FERRAZ DE VASCONCELOS;UNICA;5401
FERNÃO;UNICA;34
FERNANDÓPOLIS;UNICA;1536
FERNANDO PRESTES;UNICA;134
FARTURA;UNICA;404
EUCLIDES DA CUNHA PAULISTA;UNICA;214
ESTRELA DO NORTE;UNICA;48
ESTRELA D'OESTE;UNICA;218
ESTIVA GERBI;UNICA;335
ESPÍRITO SANTO DO TURVO;UNICA;110
ESPÍRITO SANTO DO PINHAL;UNICA;1032
ENGENHEIRO COELHO;UNICA;664
EMILIANÓPOLIS;UNICA;72
EMBU-GUAÇU;UNICA;1475
EMBU DAS ARTES;UNICA;7428
EMBAÚBA;UNICA;62
ELISIÁRIO;UNICA;105
ELIAS FAUSTO;UNICA;546
ELDORADO;UNICA;197
ECHAPORÃ;UNICA;139
DUMONT;UNICA;296
DUARTINA;UNICA;319
DRACENA;UNICA;932
DOURADO;UNICA;225
DOLCINÓPOLIS;UNICA;54
DOIS CÓRREGOS;UNICA;718
DOBRADA;UNICA;302
DIVINOLÂNDIA;UNICA;239
DIRCE REIS;UNICA;19
DIADEMA;UNICA;11181
DESCALVADO;UNICA;1016
CUNHA;UNICA;489
CUBATÃO;UNICA;3390
CRUZEIRO;UNICA;2093
CRUZÁLIA;UNICA;36
CRISTAIS PAULISTA;UNICA;215
CRAVINHOS;UNICA;1063
COTIA;UNICA;6347
COSMORAMA;UNICA;177
COSMÓPOLIS;UNICA;2109
CORUMBATAÍ;UNICA;92
CORONEL MACEDO;UNICA;108
COROADOS;UNICA;152
CORDEIRÓPOLIS;UNICA;687
CONCHAS;UNICA;401
CONCHAL;UNICA;746
COLÔMBIA;UNICA;165
COLINA;UNICA;514
CLEMENTINA;UNICA;269
CHAVANTES;UNICA;325
CHARQUEADA;UNICA;523
CESÁRIO LANGE;UNICA;629
CERQUILHO;UNICA;1363
CERQUEIRA CÉSAR;UNICA;604
CEDRAL;UNICA;239
CATIGUÁ;UNICA;193
CATANDUVA;UNICA;2923
CASTILHO;UNICA;611
CÁSSIA DOS COQUEIROS;UNICA;52
CASA BRANCA;UNICA;787
CARDOSO;UNICA;273
CARAPICUÍBA;UNICA;11165
CARAGUATATUBA;UNICA;3041
CAPIVARI;UNICA;1482
CAPELA DO ALTO;UNICA;599
CAPÃO BONITO;UNICA;1108
CANITAR;UNICA;152
CÂNDIDO RODRIGUES;UNICA;62
CÂNDIDO MOTA;UNICA;653
CANAS;UNICA;131
CANANÉIA;UNICA;280
CAMPOS NOVOS PAULISTA;UNICA;112
CAMPOS DO JORDÃO;UNICA;1405
CAMPO LIMPO PAULISTA;UNICA;2384
CAMPINAS;UNICA;34213
CAMPINA DO MONTE ALEGRE;UNICA;136
CAJURU;UNICA;585
CAJOBI;UNICA;274
CAJATI;UNICA;774
CAJAMAR;UNICA;2794
CAIUÁ;UNICA;85
CAIEIRAS;UNICA;2873
CAIABU;UNICA;60
CAFELÂNDIA;UNICA;427
CACONDE;UNICA;410
CACHOEIRA PAULISTA;UNICA;980
CAÇAPAVA;UNICA;2489
CABREÚVA;UNICA;1493
CABRÁLIA PAULISTA;UNICA;104
BURITIZAL;UNICA;100
BURITAMA;UNICA;449
BURI;UNICA;508
BROTAS;UNICA;621
BRODOWSKI;UNICA;660
BREJO ALEGRE;UNICA;74
BRAÚNA;UNICA;141
BRAGANÇA PAULISTA;UNICA;4806
BOTUCATU;UNICA;9
BOREBI;UNICA;51
BORBOREMA;UNICA;412
BORACÉIA;UNICA;110
BORÁ;UNICA;13
BOM SUCESSO DE ITARARÉ;UNICA;79
BOM JESUS DOS PERDÕES;UNICA;745
BOITUVA;UNICA;1868
BOFETE;UNICA;300
BOCAINA;UNICA;321
BOA ESPERANÇA DO SUL;UNICA;420
BIRITIBA MIRIM;UNICA;885
BIRIGUI;UNICA;3557
BILAC;UNICA;202
BERTIOGA;UNICA;1895
BERNARDINO DE CAMPOS;UNICA;214
BENTO DE ABREU;UNICA;73
BEBEDOURO;UNICA;1746
BAURU;UNICA;9298
BATATAIS;UNICA;1450
BASTOS;UNICA;494
BARUERI;UNICA;6838
BARRINHA;UNICA;982
BARRETOS;UNICA;3082
BARRA DO TURVO;UNICA;115
BARRA DO CHAPÉU;UNICA;137
BARRA BONITA;UNICA;984
BARIRI;UNICA;841
BARBOSA;UNICA;121
BARÃO DE ANTONINA;UNICA;47
BANANAL;UNICA;280
BÁLSAMO;UNICA;248
BALBINOS;UNICA;60
BADY BASSITT;UNICA;411
AVARÉ;UNICA;2196
AVANHANDAVA;UNICA;231
AVAÍ;UNICA;59
AURIFLAMA;UNICA;378
ATIBAIA;UNICA;3598
ASSIS;UNICA;2366
ASPÁSIA;UNICA;16
ARUJÁ;UNICA;2340
ARTUR NOGUEIRA;UNICA;1684
ARIRANHA;UNICA;262
AREIÓPOLIS;UNICA;319
AREIAS;UNICA;72
AREALVA;UNICA;195
ARCO-ÍRIS;UNICA;34
ARARAS;UNICA;3858
ARARAQUARA;UNICA;6461
ARAPEÍ;UNICA;67
ARANDU;UNICA;166
ARAMINA;UNICA;136
ARAÇOIABA DA SERRA;UNICA;836
ARAÇATUBA;UNICA;5068
ARAÇARIGUAMA;UNICA;593
APIAÍ;UNICA;552
APARECIDA D'OESTE;UNICA;82
APARECIDA;UNICA;971
ANHUMAS;UNICA;84
ANHEMBI;UNICA;149
ANGATUBA;UNICA;530
ANDRADINA;UNICA;1375
ANALÂNDIA;UNICA;133
AMPARO;UNICA;1788
AMÉRICO DE CAMPOS;UNICA;141
AMÉRICO BRASILIENSE;UNICA;1153
AMERICANA;UNICA;6532
ALVINLÂNDIA;UNICA;69
ÁLVARO DE CARVALHO;UNICA;167
ÁLVARES MACHADO;UNICA;611
ÁLVARES FLORENCE;UNICA;83
ALUMÍNIO;UNICA;513
ALTO ALEGRE;UNICA;101
ALTINÓPOLIS;UNICA;399
ALTAIR;UNICA;116
ALFREDO MARCONDES;UNICA;86
ALAMBARI;UNICA;175
AGUDOS;UNICA;880
ÁGUAS DE SÃO PEDRO;UNICA;65
ÁGUAS DE SANTA BÁRBARA;UNICA;140
ÁGUAS DE LINDÓIA;UNICA;487
ÁGUAS DA PRATA;UNICA;197
AGUAÍ;UNICA;1064
ADOLFO;UNICA;83
ADAMANTINA;UNICA;881
ZACARIAS;ADICIONAL;1894
VOTUPORANGA;ADICIONAL;62590
VOTORANTIM;ADICIONAL;66969
VITÓRIA BRASIL;ADICIONAL;1229
VISTA ALEGRE DO ALTO;ADICIONAL;5076
VIRADOURO;ADICIONAL;13207
VINHEDO;ADICIONAL;47029
VERA CRUZ;ADICIONAL;6494
VÁRZEA PAULISTA;ADICIONAL;52239
VARGEM GRANDE PAULISTA;ADICIONAL;28463
VARGEM GRANDE DO SUL;ADICIONAL;28542
VARGEM;ADICIONAL;6257
VALPARAÍSO;ADICIONAL;16301
VALINHOS;ADICIONAL;73541
VALENTIM GENTIL;ADICIONAL;8797
URUPÊS;ADICIONAL;10052
URU;ADICIONAL;1394
URÂNIA;ADICIONAL;6083
UNIÃO PAULISTA;ADICIONAL;1135
UCHOA;ADICIONAL;7798
UBIRAJARA;ADICIONAL;2560
UBATUBA;ADICIONAL;41518
UBARANA;ADICIONAL;3754
TURMALINA;ADICIONAL;2022
TURIÚBA;ADICIONAL;1609
TUPI PAULISTA;ADICIONAL;11253
TUPÃ;ADICIONAL;41705
TUIUTI;ADICIONAL;4831
TRÊS FRONTEIRAS;ADICIONAL;4530
TREMEMBÉ;ADICIONAL;32690
TRABIJU;ADICIONAL;1275
TORRINHA;ADICIONAL;6711
TORRE DE PEDRA;ADICIONAL;1956
TIMBURI;ADICIONAL;2458
TIETÊ;ADICIONAL;25892
TERRA ROXA;ADICIONAL;5859
TEODORO SAMPAIO;ADICIONAL;14864
TEJUPÁ;ADICIONAL;2182
TAUBATÉ;ADICIONAL;186401
TATUÍ;ADICIONAL;73960
TARUMÃ;ADICIONAL;8495
TARABAI;ADICIONAL;4655
TAQUARIVAÍ;ADICIONAL;4503
TAQUARITUBA;ADICIONAL;19964
TAQUARITINGA;ADICIONAL;39131
TAQUARAL;ADICIONAL;2441
TAPIRATIBA;ADICIONAL;9493
TAPIRAÍ;ADICIONAL;5301
TANABI;ADICIONAL;18278
TAMBAÚ;ADICIONAL;13635
TAIÚVA;ADICIONAL;5866
TAIAÇU;ADICIONAL;5018
TAGUAÍ;ADICIONAL;8814
TACIBA;ADICIONAL;3560
TABOÃO DA SERRA;ADICIONAL;156452
TABATINGA;ADICIONAL;9953
TABAPUÃ;ADICIONAL;8293
SUZANO;ADICIONAL;173652
SUZANÁPOLIS;ADICIONAL;2446
SUMARÉ;ADICIONAL;137573
SUD MENNUCCI;ADICIONAL;5387
SOROCABA;ADICIONAL;404469
SOCORRO;ADICIONAL;25932
SILVEIRAS;ADICIONAL;4892
SEVERÍNIA;ADICIONAL;10634
SETE BARRAS;ADICIONAL;6887
SERTÃOZINHO;ADICIONAL;82545
SERRANA;ADICIONAL;30329
SERRA NEGRA;ADICIONAL;19341
SERRA AZUL;ADICIONAL;9228
SEBASTIANÓPOLIS DO SUL;ADICIONAL;3391
SARUTAIÁ;ADICIONAL;2776
SARAPUÍ;ADICIONAL;6097
SÃO VICENTE;ADICIONAL;193321
SÃO SIMÃO;ADICIONAL;9835
SÃO SEBASTIÃO DA GRAMA;ADICIONAL;8273
SÃO SEBASTIÃO;ADICIONAL;38996
SÃO ROQUE;ADICIONAL;53761
SÃO PEDRO DO TURVO;ADICIONAL;4440
SÃO PEDRO;ADICIONAL;22175
SÃO PAULO;ADICIONAL;8493831
SÃO MIGUEL ARCANJO;ADICIONAL;21775
SÃO MANUEL;ADICIONAL;25484
SÃO LUIZ DO PARAITINGA;ADICIONAL;9390
SÃO LOURENÇO DA SERRA;ADICIONAL;9161
SÃO JOSÉ DOS CAMPOS;ADICIONAL;417748
SÃO JOSÉ DO RIO PRETO;ADICIONAL;309334
SÃO JOSÉ DO RIO PARDO;ADICIONAL;37397
SÃO JOSÉ DO BARREIRO;ADICIONAL;2632
SÃO JOSÉ DA BELA VISTA;ADICIONAL;4744
SÃO JOAQUIM DA BARRA;ADICIONAL;31810
SÃO JOÃO DO PAU D'ALHO;ADICIONAL;1590
SÃO JOÃO DE IRACEMA;ADICIONAL;1607
SÃO JOÃO DAS DUAS PONTES;ADICIONAL;1936
SÃO JOÃO DA BOA VISTA;ADICIONAL;62230
SÃO FRANCISCO;ADICIONAL;2826
SÃO CARLOS;ADICIONAL;174109
SÃO CAETANO DO SUL;ADICIONAL;130129
SÃO BERNARDO DO CAMPO;ADICIONAL;559023
SÃO BENTO DO SAPUCAÍ;ADICIONAL;8150
SANTOS;ADICIONAL;293525
SANTÓPOLIS DO AGUAPEÍ;ADICIONAL;2938
SANTO EXPEDITO;ADICIONAL;2055
SANTO ANTÔNIO DO PINHAL;ADICIONAL;4507
SANTO ANTÔNIO DO JARDIM;ADICIONAL;4361
SANTO ANTÔNIO DO ARACANGUÁ;ADICIONAL;5547
SANTO ANTÔNIO DE POSSE;ADICIONAL;12632
SANTO ANTÔNIO DA ALEGRIA;ADICIONAL;5881
SANTO ANDRÉ;ADICIONAL;495615
SANTO ANASTÁCIO;ADICIONAL;11726
SANTANA DE PARNAÍBA;ADICIONAL;101458
SANTANA DA PONTE PENSA;ADICIONAL;1516
SANTA SALETE;ADICIONAL;1525
SANTA ROSA DE VITERBO;ADICIONAL;17518
SANTA RITA DO PASSA QUATRO;ADICIONAL;19362
SANTA RITA D'OESTE;ADICIONAL;2109
SANTA MERCEDES;ADICIONAL;2165
SANTA MARIA DA SERRA;ADICIONAL;3259
